,UserName,movie,Userid,TweetFollowers,Tweet,TweetTime,Retweets,ScreenName
0,DC,STAND BY ME,1110078422586396672,99,"@tf_mathew Gotta give your phone up, gotta show ID        There’s not a lot of bitches that will stand by me, so th… https://t.co/IlIn2L2cn3",2019-03-25 07:18:14,0,DavidDC5
12,André,FERRIS BUELLER'S DAY OFF,1110027999175282689,263,"@ferretbuellertx @stickermule I wore my ferret bueller shirt with that on it to work a week ago, and had like four… https://t.co/ckYKNFwFAq",2019-03-25 03:57:52,0,black_emo_guy
19,Wyn O. C.🐋,TOP GUN,1110077120200347648,836,"RT @Well_Regulated_: A member of our well regulated militia, armed to visit a movie theater, fires his gun while pulling it out to threaten…",2019-03-25 07:13:04,21,wyn_o
34,Quinnbwinglin,ALIENS,1110078444799447041,345,"RT @JotSandhuArt: I think aliens avoid earth the same way rich ppl avoid the ""bad side of town""",2019-03-25 07:18:20,7,quinnbwinglin
46,Wüste Sachen,FLIGHT OF THE NAVIGATOR,1110050112896667648,32,@discolando Flight of the Navigator - that was my favorite when I was young. 😍,2019-03-25 05:25:45,0,ourean
61,Ricky,PLATOON,1110077186780753922,140,My new platoon consists of Star Wars geeks and gym douches so They’re all a combination of me 😊,2019-03-25 07:13:20,0,Ricky12012
75,Antxiko,LABYRINTH,1110078446942732289,1424,"RT @microcomputador: I am making a Maze Game for MSX2+ and MSX Turbo R ...

#Maze #Labyrinth #Game
#IndieDev #GameDev #MSX
#PC #RetroGaming…",2019-03-25 07:18:20,4,antxiko
90,$HY L3NN0x,BLUE VELVET,1110078087969103873,752,RT @ChrisCat_Bar: *cues @shylennox’s Blue Velvet* https://t.co/r0tEuA3gxM,2019-03-25 07:16:55,1,shylennox
102,HoneyDrop9,PRETTY IN PINK,1110077929063624704,10,@Iron_Klaus Omg Yuzu I don’t like Pink toooo *emotional for no reason*. But you still look pretty in it you graceful spring fairy you 😭😭😭,2019-03-25 07:16:17,0,Macchiato_13
111,AnnaskiDV,THE FLY,1110078402663337984,42,"RT @kz_anika: @KZofficial singing Yellow has the same feels when she sang Say Something in the Singer2018.

Im itching to fly Davao just to…",2019-03-25 07:18:10,1,AnnaskiDv
125,Ian Musgrave,CROCODILE DUNDEE,1110074867859120131,1001,"RT @ABCscience: It's hard to know what made Jack Absalom more famous — his identity as a bushie or his skills as a bushie.

Speaking to @jo…",2019-03-25 07:04:07,2,ianfmusgrave
140,Marty,HIGHLANDER,1110076337769852929,267,"RT @LucioRufus: Roma 2019, metro A: Highlander, ne rimarrà aperta soltanto una! @romafaschifo @Piamola_A_Ride @Fajelamulta @MercurioPsi @Tp…",2019-03-25 07:09:57,6,martaleonardi63
152,อีเปี๊ยะ¹²⁷🐙,LUCAS,1110078452680425472,209,"RT @Hi990125: #루카스 #Lucas #黄旭熙 #NCT #威神v #威神 #WayV #wayv #keeprunning #KeepRunning 

190325 HD 奔跑吧 https://t.co/G67QhoQaap",2019-03-25 07:18:22,10,PnyLCxYT
161,AJ,BIG TROUBLE IN LITTLE CHINA,1110078118121869314,2,@NathanButlerArt Big Trouble in Little China,2019-03-25 07:17:02,0,woodstocktnt
175,maussagenlogik,MANHUNTER,1110077757671788549,233,"RT @lilah_sturges: J'onn: Beware the MARTIAN MANHUNTER!
Criminal: finally! a gay superhero!
J'onn: what do you mean
Criminal: dude you're w…",2019-03-25 07:15:36,189,maussagenlogik
187,PiCaN,9½ WEEKS,1110030388532047873,272,"Nike Air Jordan IV Premium Ginger Gum Yellow
Size: US 9½ US 10 US 10½ US 11 US 11½ US 12
ETA: 3 - 5 Weeks
Full Paym… https://t.co/yfVrYWPgL4",2019-03-25 04:07:22,0,Picanisme
202,Samus Aran ⭐ (Miley),MAXIMUM OVERDRIVE,1110073952255266817,7137,"I'm watching Maximum Overdrive (1986)

#MaximumOverdrive  https://t.co/jDOuzuHEYC #trakt",2019-03-25 07:00:29,0,SamusAran2020
215,Kelly Rubinsohn,LITTLE SHOP OF HORRORS,1110072147702013953,237,Also I was really hoping that when HAP opened the locked door it would be the Audrey II from Little Shop of Horrors. #TheOA,2019-03-25 06:53:18,0,KellyRubinsohn
229,Talion & Celebrimbor (Separated),THE WRAITH,1110077612414697472,121,"@MaiTheEnemy ""Thank you...Mairon.""He gave a small smile when the other kissed his shoulder. He nuzzled him back in… https://t.co/6nJ3Mq1Byi",2019-03-25 07:15:01,0,Undying__Wraith
244,GameOverJesse,HOWARD THE DUCK,1110076971176869888,5092,I just watched Howard The Duck. I remember a scene that wasn’t in this movie. Odd,2019-03-25 07:12:28,0,GameOverJesse
258,Mitja Žabot,CRITTERS,1110076148518658048,9,@itsginnydi Sory to hear that...but let the idiots not hurt you...they are few and we are legion....and the Critter… https://t.co/caP8H96lno,2019-03-25 07:09:12,0,Mitja_Zabot
273,William Who?,BACK TO SCHOOL,1110078401942048768,2335,Rachael_SwindonRT Rachael_Swindon: Let's get this right. The Tories think SEVEN PENCE will cover a school child's b… https://t.co/p05DvncqkV,2019-03-25 07:18:09,0,willhuw
