,ScreenName,UserTweets,DateOfTweets,TweetFollowers
0,MagpiesView,RT @Rachael_Swindon: *Insert utter disgust including swear words for this revolting Tory Government here* ||Man| 73| with cancer found home…,2019-03-06 20:25:04,5236
20,KenBoon79,@DarcieRead Im angry now and it's all because coleslaw has been thrown in the bin.|There'll be all sorts of shite p… https://t.co/PSXHeGILP5,2019-03-06 21:14:07,379
40,Fran_Neena20409,RT @PSG_inside: 📸⚽️🎮||Quand @neymarjr reçoit @Ninja au Parc des Princes pour ce #PSGMU ! 😀🏡||🔴🔵 #ICICESTPARIS https://t.co/vnkFlJTKat,2019-03-06 21:24:39,3122
60,LJohn_57,"RT @beth2_k3a: Check ""Yes"" and RT if you hate the Democrats and promise NOT to vote for them in 2020 due to their destruction of America an…",2019-03-06 20:10:00,2647
80,dose_hiphop,Ranking Childish Gambino’s ‘Because the Internet’ Track-by-Track||1. I. Flight of the Navigator [Love]|2. I. The Wo… https://t.co/HLs9vDjWuy,2019-03-06 18:24:59,49
100,TalkingPicsTV,23:00 JUNIOR BONNER (1972) adventure #SteveMcQueen #RobertPreston #IdaLupino Rodeo rider Bonner| returns home to Ar… https://t.co/ADtNhdp2i8,2019-03-06 21:00:34,24182
120,graphicsullivan,Check out my Labyrinth movie poster that I designed!,2019-03-06 19:57:48,0
128,lenawaters_,RT @Hogwartssite: - ¿Hacemos una maratón de Harry Potter? |- https://t.co/3meMfoThax,2019-03-06 21:22:43,2871
148,Mile_by_Mile,RT @NBCNews: President Trump will no longer require US intel officials to publicly disclose the numbers of people killed in drone strikes a…,2019-03-06 20:01:16,3270
168,notrightbob,RT @AP: Sen. Martha McSally| the first female fighter pilot to fly in combat| says she was raped in the Air Force by a superior officer. ht…,2019-03-06 20:00:29,124
188,Carlevans450,RT @MichaelRiceOff: I just want to take this time to say thank you to everyone who has made this past year incredible &amp; a one to remember.…,2019-03-06 20:57:22,511
208,Jewsh_Yandell,@CanHighlander how does the highlander league work?,2019-03-06 19:58:08,4
228,camillenunes11,@lucas_5327 nan mais c’est bon j’ai attendu ça toute ma vie😂,2019-03-06 20:52:05,147
248,bleep95,RT @saldadosucks: https://t.co/cRv7DqfMn4,2019-03-06 20:42:18,142
268,dixonij,@LordHosk https://t.co/RPvYciqImL,2019-03-06 21:19:24,2289
288,ChelseyP_91,All being well I finish work on Friday| 2 weeks annual leave and further 2 weeks until lil lady is due to arrive| h… https://t.co/W0BVdDtmwk,2019-03-06 14:06:16,154
308,jwells388,@MsDarcyFarrow The photo shown in this post is an outtake from Stephen Kings Maximum Overdrive !!,2019-03-06 19:54:12,17
328,GregKOESTER,RT @RealJamesWoods: The stock market under a socialist and then under a capitalist... https://t.co/WyXbp6XpZT,2019-03-06 20:46:33,1101
348,dangerousneil,@jmcfarl3 lmao,2019-03-06 21:24:05,1545
368,MaximumClark,@HDTGM Howard the duck. My voice is featured in the audience!   “June| he was DUCKing out of the way!”,2019-03-06 19:48:48,48
388,Mikkuchan07,RT @emclellanwrites: CLEAN BREAK comes out on March 19th and pre-order links at some vendors are already live! ||💙 M/M college romance|💙 Fu…,2019-03-06 21:13:20,556
408,Think_Blue_Sky,RT @Think_Blue_Sky: @TheBirmingham6 The media forgets that Hodge cared so much for her constituents a decade ago that her voters elected al…,2019-03-06 20:03:05,4242
428,GGFinest,“I had to lend her money..I was like Noooo| my drinking money” 😂😂,2019-03-06 19:15:42,307
448,bloggemanu,@WarnerBrosSpain Unas de mis favoritas del señor Eastwood es Heartbreak Ridge (Sargento de hierro en 🇪🇸) 10/10,2019-03-06 16:44:29,143
468,Longstemmedlily,Dog mep CLOSED 5/11 Done https://t.co/7m55ebWHYi via @YouTube,2019-03-06 18:48:13,1229
488,aigis_txt,Yukari told me that if you can only get far in life if you accept the teachings of karl marx,2019-03-06 21:00:35,391
508,japoneko_com,RT @takehide28: おはようございます☁️🗻❤️💕💌🎵🎶||朝一はやっぱり絶景くんの富士山||平成31年3月7日|雲がモクモク木曜日|絶景くんの🗻雲の中で💤ですが|平成30年3月7日の|絶景くんの富士山です||　　　　　　🗻|　　　　　今日も|　　　　皆様の素敵な…,2019-03-06 21:25:17,706
528,MarthaPerezBook,RT @PhoenixRainez: @DasDeniz @LadyMardiGras @TheWritingKind @ARPearson2 @Brennan_and_Riz @Omega2026 @TrishSuter @MarthaPerezBook @PletchaPJ…,2019-03-06 21:17:11,5856
548,genesismaguilar,RT @soybeanqueenn: men dont know if you don’t change your tampon every 8 hours you could literally die https://t.co/MsLYlTJd2L,2019-03-06 21:13:54,156
568,hayesftdrew,queimei o brigadeiro| otimo.,2019-03-06 21:21:44,261
588,CCWorkfloor,https://t.co/Y0wvgrwZiX https://t.co/Y0wvgrwZiX,2019-03-06 20:47:13,150
608,MairaColorada,RT @redebrasilatual: MP 873 é incompatível com liberdade sindical| afirma procurador do Trabalho https://t.co/NjmQshKLed via @redebrasilatu…,2019-03-06 21:21:34,410
628,nicoleguappone,@betty_butch dear god I got the pink AND the blue ones. 🙅‍♀️,2019-03-06 19:48:30,840
648,mochiandy,RT @GENeesback: live action scooby doo   mark as fred johnny as shaggy https://t.co/KkHmVTcK3E,2019-03-06 21:21:40,225
668,seoftheopti,RT @NPR: An NPR investigation finds wealthier Americans are often more likely to receive federal dollars after a disaster than less wealthy…,2019-03-06 19:59:43,66
688,WhileTurning,RT @WeLoveGLA: McKinnons Bar &amp; Lounge 🍻||📸 the_other_fi https://t.co/4M22R63ugP,2019-03-06 16:35:10,1165
708,Borofthrones,Mi gato se llama guantes,2019-03-06 20:55:35,48
728,BlackhornetI,@I__FIRE__I @hitcher_2011 @mahnka88 @ProfDrWilly @fantacruz57 @mojo2901 You have to look after ur self. That is the… https://t.co/qIJeVPuz31,2019-03-06 19:36:28,20
748,accutic,Seeing some call buying now in 5's both screen and pit - the 114.5's slightly in the money providing support here.… https://t.co/z9r3S3nPWu,2019-03-06 19:43:31,372
768,MovieGifBot,🔹 THE HEARTBREAK KID|Bobby Farrelly| Peter Farrelly| 2007|https://t.co/19fZqMOOP2 https://t.co/FRimerMJHJ,2019-03-06 21:15:46,30
788,ObnoxAnonymous,HANGIN' OUT WITH CAMERON - LIVE (MARCH 6| 2019)|https://t.co/k8XSRwSxM4 https://t.co/ahVs8CCI9q,2019-03-06 21:11:51,149
808,ChibiUFO,RT @IronfistClown: I just noticed something about Classic Kyo.||This mufuh doesn't have a belt buckle... https://t.co/AlCbw8q5UE,2019-03-06 21:24:59,771
828,BestOfBotWorlds,@BestOfBotWorlds @BestOfBotWorlds And Nancy set the rules and Sid obeyed the rules|The End.,2019-03-06 19:42:03,161
848,TopherSheerin,https://t.co/jzzlf4sCok,2019-03-06 19:41:11,502
868,Barbi_bb,"It actually really sickens me when ppl in UK claim ""poverty"" as an excuse for smashing things up &amp; stabbing ppl. Yo… https://t.co/DSWcK2bNNL",2019-03-06 21:08:59,2106
888,iTMSMovieDeals,HD Price Drop: The Wolverine for $9.99 (Prev: $14.99) - https://t.co/1A69SgHaeV,2019-03-06 20:58:52,1139
908,AMTMGECDTERROR,🔊FECHA DE ESTRENO🍿||📌Pues según STX Entertainment vía Bloody-disgusting| se acaba de confirmar la fecha de estreno… https://t.co/GylceyUAaQ,2019-03-06 19:54:38,385
928,anaoromilluch,RT @MartaRotllan: Molt bones notícies!!! ||La Intersindical-CSC supera CCOO i UGT i multiplica per vuit els deleg https://t.co/zKpVB1GJjX,2019-03-06 21:07:27,1288
948,FatineArji,RT @champagne3arbi: ce snap il est inoubliable https://t.co/fKXbeCq84C,2019-03-06 20:51:20,2065
968,TeamGDS_Drone,#RT부탁드려요 #WildCats #TeamGDS|드론 메카닉 팀 Team. G.D.S.가 티스토리에서 Wild Cats로 보금자리를 옮겼어요!|https://t.co/GFz0TXmwQD|앞으로도 많은 관심 부탁 드려요!|116,2019-03-06 21:00:15,804
988,TheAdolescents,@senatemajldr @VP bullshit. you are cowards and fucking criminals,2019-03-06 19:46:02,31036
1008,SpaceCampUSA,@AlexBlechman We already exist| though! https://t.co/O7ZuRW1JBu #YouAreNeverTooOld,2019-03-06 17:16:05,18503
1028,ryanreynolds86,Look| I'm trying not to get too excited about Tyler O'Neill's spring thus far but...I'm getting too excited about T… https://t.co/HHQD4xE9AH,2019-03-06 18:44:58,246
1048,JebManning,RT @tara_atrandom: https://t.co/v03CwjSvZ4,2019-03-06 20:08:50,456
