actor_id,actor,year,award_id,award,film
1,CLARK GABLE,1934,10,Actor,It Happened One Night
40,VICTOR MCLAGLEN,1935,10,Actor,The Informer
689,PAUL LUKAS,1943,10,Actor,Watch on the Rhine
807,BING CROSBY,1944,10,Actor,Going My Way
910,RAY MILLAND,1945,10,Actor,The Lost Weekend
1216,BRODERICK CRAWFORD,1949,10,Actor,All the King's Men
1654,ERNEST BORGNINE,1955,10,Actor,Marty
1723,YUL BRYNNER,1956,10,Actor,The King and I
1857,DAVID NIVEN,1958,10,Actor,Separate Tables
1921,CHARLTON HESTON,1959,10,Actor,Ben-Hur
2049,MAXIMILIAN SCHELL,1961,10,Actor,Judgment at Nuremberg
2314,LEE MARVIN,1965,10,Actor,Cat Ballou
2386,PAUL SCOFIELD,1966,10,Actor,A Man for All Seasons
2516,CLIFF ROBERTSON,1968,10,Actor,Charly
2874,ART CARNEY,1974,10,Actor,Harry and Tonto
3058,RICHARD DREYFUSS,1977,11,Actor in a Leading Role,The Goodbye Girl
3358,BEN KINGSLEY,1982,11,Actor in a Leading Role,Gandhi
3472,F. MURRAY ABRAHAM,1984,11,Actor in a Leading Role,Amadeus
3536,WILLIAM HURT,1985,11,Actor in a Leading Role,Kiss of the Spider Woman
3664,MICHAEL DOUGLAS,1987,11,Actor in a Leading Role,Wall Street
3793,DANIEL DAY LEWIS,1989,11,Actor in a Leading Role,My Left Foot
3856,JEREMY IRONS,1990,11,Actor in a Leading Role,Reversal of Fortune
3918,ANTHONY HOPKINS,1991,11,Actor in a Leading Role,The Silence of the Lambs
4166,NICOLAS CAGE,1995,11,Actor in a Leading Role,Leaving Las Vegas
4240,GEOFFREY RUSH,1996,11,Actor in a Leading Role,Shine
4384,ROBERTO BENIGNI,1998,11,Actor in a Leading Role,Life Is Beautiful
4629,ADRIEN BRODY,2002,11,Actor in a Leading Role,The Pianist
4749,JAMIE FOXX,2004,11,Actor in a Leading Role,Ray
4815,PHILIP SEYMOUR HOFFMAN,2005,11,Actor in a Leading Role,Capote
4885,FOREST WHITAKER,2006,11,Actor in a Leading Role,The Last King of Scotland
5219,JEAN DUJARDIN,2011,11,Actor in a Leading Role,The Artist
5349,MATTHEW MCCONAUGHEY,2013,11,Actor in a Leading Role,Dallas Buyers Club
5421,EDDIE REDMAYNE,2014,11,Actor in a Leading Role,The Theory of Everything
93,WALTER BRENNAN,1936,12,Actor in a Supporting Role,Come and Get It
159,JOSEPH SCHILDKRAUT,1937,12,Actor in a Supporting Role,The Life of Emile Zola
468,DONALD CRISP,1941,12,Actor in a Supporting Role,How Green Was My Valley
583,VAN HEFLIN,1942,12,Actor in a Supporting Role,Johnny Eager
915,JAMES DUNN,1945,12,Actor in a Supporting Role,A Tree Grows in Brooklyn
1020,HAROLD RUSSELL,1946,12,Actor in a Supporting Role,The Best Years of Our Lives
1083,EDMUND GWENN,1947,12,Actor in a Supporting Role,Miracle on 34th Street
1221,DEAN JAGGER,1949,12,Actor in a Supporting Role,Twelve O'Clock High
1295,GEORGE SANDERS,1950,12,Actor in a Supporting Role,All about Eve
1362,KARL MALDEN,1951,12,Actor in a Supporting Role,A Streetcar Named Desire
1429,ANTHONY QUINN,1952,12,Actor in a Supporting Role,Viva Zapata!
1503,FRANK SINATRA,1953,12,Actor in a Supporting Role,From Here to Eternity
1585,EDMOND O'BRIEN,1954,12,Actor in a Supporting Role,The Barefoot Contessa
1656,JACK LEMMON,1955,12,Actor in a Supporting Role,Mister Roberts
1797,RED BUTTONS,1957,12,Actor in a Supporting Role,Sayonara
1860,BURL IVES,1958,12,Actor in a Supporting Role,The Big Country
1922,HUGH GRIFFITH,1959,12,Actor in a Supporting Role,Ben-Hur
2051,GEORGE CHAKIRIS,1961,12,Actor in a Supporting Role,West Side Story
2118,ED BEGLEY,1962,12,Actor in a Supporting Role,Sweet Bird of Youth
2186,MELVYN DOUGLAS,1963,12,Actor in a Supporting Role,Hud
2316,MARTIN BALSAM,1965,12,Actor in a Supporting Role,A Thousand Clowns
2388,WALTER MATTHAU,1966,12,Actor in a Supporting Role,The Fortune Cookie
2459,GEORGE KENNEDY,1967,12,Actor in a Supporting Role,Cool Hand Luke
2517,JACK ALBERTSON,1968,12,Actor in a Supporting Role,The Subject Was Roses
2638,JOHN MILLS,1970,12,Actor in a Supporting Role,Ryan's Daughter
2699,BEN JOHNSON,1971,12,Actor in a Supporting Role,The Last Picture Show
2757,JOEL GREY,1972,12,Actor in a Supporting Role,Cabaret
2814,JOHN HOUSEMAN,1973,12,Actor in a Supporting Role,The Paper Chase
2875,ROBERT DE NIRO,1974,12,Actor in a Supporting Role,The Godfather Part II
2936,GEORGE BURNS,1975,12,Actor in a Supporting Role,The Sunshine Boys
3001,JASON ROBARDS,1976,12,Actor in a Supporting Role,All the President's Men
3127,CHRISTOPHER WALKEN,1978,12,Actor in a Supporting Role,The Deer Hunter
3250,TIMOTHY HUTTON,1980,12,Actor in a Supporting Role,Ordinary People
3360,"LOUIS GOSSETT, JR.",1982,12,Actor in a Supporting Role,An Officer and a Gentleman
3478,HAING S. NGOR,1984,12,Actor in a Supporting Role,The Killing Fields
3537,DON AMECHE,1985,12,Actor in a Supporting Role,Cocoon
3667,SEAN CONNERY,1987,12,Actor in a Supporting Role,The Untouchables
3728,KEVIN KLINE,1988,12,Actor in a Supporting Role,A Fish Called Wanda
4173,KEVIN SPACEY,1995,12,Actor in a Supporting Role,The Usual Suspects
4242,"CUBA GOODING, JR.",1996,12,Actor in a Supporting Role,Jerry Maguire
4386,JAMES COBURN,1998,12,Actor in a Supporting Role,Affliction
4510,BENICIO DEL TORO,2000,12,Actor in a Supporting Role,Traffic
4573,JIM BROADBENT,2001,12,Actor in a Supporting Role,Iris
4630,CHRIS COOPER,2002,12,Actor in a Supporting Role,Adaptation
4692,TIM ROBBINS,2003,12,Actor in a Supporting Role,Mystic River
4819,GEORGE CLOONEY,2005,12,Actor in a Supporting Role,Syriana
5087,CHRISTOPH WALTZ,2009,12,Actor in a Supporting Role,Inglourious Basterds
5155,CHRISTIAN BALE,2010,12,Actor in a Supporting Role,The Fighter
5352,JARED LETO,2013,12,Actor in a Supporting Role,Dallas Buyers Club
5422,J.K. SIMMONS,2014,12,Actor in a Supporting Role,Whiplash
5491,MARK RYLANCE,2015,12,Actor in a Supporting Role,Bridge of Spies
4,CLAUDETTE COLBERT,1934,13,Actress,It Happened One Night
99,LUISE RAINER,1936,13,Actress,The Great Ziegfeld
310,VIVIEN LEIGH,1939,13,Actress,Gone with the Wind
383,GINGER ROGERS,1940,13,Actress,Kitty Foyle
694,JENNIFER JONES,1943,13,Actress,The Song of Bernadette
917,JOAN CRAWFORD,1945,13,Actress,Mildred Pierce
1088,LORETTA YOUNG,1947,13,Actress,The Farmer's Daughter
1297,JUDY HOLLIDAY,1950,13,Actress,Born Yesterday
1430,SHIRLEY BOOTH,1952,13,Actress,"Come Back, Little Sheba"
1507,AUDREY HEPBURN,1953,13,Actress,Roman Holiday
1660,ANNA MAGNANI,1955,13,Actress,The Rose Tattoo
1803,JOANNE WOODWARD,1957,13,Actress,The Three Faces of Eve
1927,SIMONE SIGNORET,1959,13,Actress,Room at the Top
2054,SOPHIA LOREN,1961,13,Actress,Two Women
2123,ANNE BANCROFT,1962,13,Actress,The Miracle Worker
2188,PATRICIA NEAL,1963,13,Actress,Hud
2254,JULIE ANDREWS,1964,13,Actress,Mary Poppins
2321,JULIE CHRISTIE,1965,13,Actress,Darling
2522,BARBRA STREISAND,1968,13,Actress,Funny Girl
2640,GLENDA JACKSON,1970,13,Actress,Women in Love
2942,LOUISE FLETCHER,1975,13,Actress,One Flew over the Cuckoo's Nest
3062,DIANE KEATON,1977,14,Actress in a Leading Role,Annie Hall
3185,SALLY FIELD,1979,14,Actress in a Leading Role,Norma Rae
3606,MARLEE MATLIN,1986,14,Actress in a Leading Role,Children of a Lesser God
3797,JESSICA TANDY,1989,14,Actress in a Leading Role,Driving Miss Daisy
3860,KATHY BATES,1990,14,Actress in a Leading Role,Misery
3982,EMMA THOMPSON,1992,14,Actress in a Leading Role,Howards End
4326,HELEN HUNT,1997,14,Actress in a Leading Role,As Good as It Gets
4389,GWYNETH PALTROW,1998,14,Actress in a Leading Role,Shakespeare in Love
4447,HILARY SWANK,1999,14,Actress in a Leading Role,Boys Don't Cry
4575,HALLE BERRY,2001,14,Actress in a Leading Role,Monster's Ball
4695,CHARLIZE THERON,2003,14,Actress in a Leading Role,Monster
4825,REESE WITHERSPOON,2005,14,Actress in a Leading Role,Walk the Line
4958,MARION COTILLARD,2007,14,Actress in a Leading Role,La Vie en Rose
5088,SANDRA BULLOCK,2009,14,Actress in a Leading Role,The Blind Side
5492,BRIE LARSON,2015,14,Actress in a Leading Role,Room
104,GALE SONDERGAARD,1936,15,Actress in a Supporting Role,Anthony Adverse
313,HATTIE MCDANIEL,1939,15,Actress in a Supporting Role,Gone with the Wind
386,JANE DARWELL,1940,15,Actress in a Supporting Role,The Grapes of Wrath
472,MARY ASTOR,1941,15,Actress in a Supporting Role,The Great Lie
696,KATINA PAXINOU,1943,15,Actress in a Supporting Role,For Whom the Bell Tolls
812,ETHEL BARRYMORE,1944,15,Actress in a Supporting Role,None but the Lonely Heart
1023,ANNE BAXTER,1946,15,Actress in a Supporting Role,The Razor's Edge
1090,CELESTE HOLM,1947,15,Actress in a Supporting Role,Gentleman's Agreement
1228,MERCEDES MCCAMBRIDGE,1949,15,Actress in a Supporting Role,All the King's Men
1300,JOSEPHINE HULL,1950,15,Actress in a Supporting Role,Harvey
1369,KIM HUNTER,1951,15,Actress in a Supporting Role,A Streetcar Named Desire
1511,DONNA REED,1953,15,Actress in a Supporting Role,From Here to Eternity
1591,EVA MARIE SAINT,1954,15,Actress in a Supporting Role,On the Waterfront
1664,JO VAN FLEET,1955,15,Actress in a Supporting Role,East of Eden
1733,DOROTHY MALONE,1956,15,Actress in a Supporting Role,Written on the Wind
1806,MIYOSHI UMEKI,1957,15,Actress in a Supporting Role,Sayonara
1989,SHIRLEY JONES,1960,15,Actress in a Supporting Role,Elmer Gantry
2057,RITA MORENO,1961,15,Actress in a Supporting Role,West Side Story
2126,PATTY DUKE,1962,15,Actress in a Supporting Role,The Miracle Worker
2193,MARGARET RUTHERFORD,1963,15,Actress in a Supporting Role,The V.I.P.s
2258,LILA KEDROVA,1964,15,Actress in a Supporting Role,Zorba the Greek
2395,SANDY DENNIS,1966,15,Actress in a Supporting Role,Who's Afraid of Virginia Woolf?
2464,ESTELLE PARSONS,1967,15,Actress in a Supporting Role,Bonnie and Clyde
2586,GOLDIE HAWN,1969,15,Actress in a Supporting Role,Cactus Flower
2645,SALLY KELLERMAN,1970,15,Actress in a Supporting Role,MA*S*H
2705,CLORIS LEACHMAN,1971,15,Actress in a Supporting Role,The Last Picture Show
2821,TATUM O'NEAL,1973,15,Actress in a Supporting Role,Paper Moon
3006,BEATRICE STRAIGHT,1976,15,Actress in a Supporting Role,Network
3258,MARY STEENBURGEN,1980,15,Actress in a Supporting Role,Melvin and Howard
3418,LINDA HUNT,1983,15,Actress in a Supporting Role,The Year of Living Dangerously
3480,PEGGY ASHCROFT,1984,15,Actress in a Supporting Role,A Passage to India
3544,ANJELICA HUSTON,1985,15,Actress in a Supporting Role,Prizzi's Honor
3611,DIANNE WIEST,1986,15,Actress in a Supporting Role,Hannah and Her Sisters
3674,OLYMPIA DUKAKIS,1987,15,Actress in a Supporting Role,Moonstruck
3734,GEENA DAVIS,1988,15,Actress in a Supporting Role,The Accidental Tourist
3798,BRENDA FRICKER,1989,15,Actress in a Supporting Role,My Left Foot
3926,MERCEDES RUEHL,1991,15,Actress in a Supporting Role,The Fisher King
3985,MARISA TOMEI,1992,15,Actress in a Supporting Role,My Cousin Vinny
4049,ANNA PAQUIN,1993,15,Actress in a Supporting Role,The Piano
4178,MIRA SORVINO,1995,15,Actress in a Supporting Role,Mighty Aphrodite
4250,JULIETTE BINOCHE,1996,15,Actress in a Supporting Role,The English Patient
4327,KIM BASINGER,1997,15,Actress in a Supporting Role,L.A. Confidential
