director_id,director,year,category
0,AKI KAURISMÄKI,2004,ACCEC Award
88,ALLISON ANDERS,2013,Primetime Emmy
103,STEPHEN HOPKINS,2005,Primetime Emmy
117,TIMO NOVOTNY,1998,Diagonale Youth Jury Award - Honorable Mention
122,MARC MEYER,2009,Primetime Emmy
134,GEORGE LUCAS,1992,Irving G. Thalberg Memorial Award
218,ANDREW STANTON,2011,Oscar
312,SAM MENDES,2000,Oscar
375,ORSON WELLES,1971,Honorary Award
412,LARS VON TRIER,2001,Oscar
585,JOHN FAWCETT,2017,Canadian Screen Award
605,LUC BESSON,1998,Alexander Korda Award for Best British Film
649,FRITZ LANG,1976,Life Career Award
657,ISABEL COIXET,2006,ADIRCAE Award
717,BRUCE BROWN,1972,Oscar
718,GORE VERBINSKI,2012,Oscar
739,QUENTIN TARANTINO,2013,Oscar
1002,EYTAN FOX,2004,Award of the Israeli Film Academy
1022,MICHAEL WINTERBOTTOM,2013,BAFTA TV Award
1101,FRANCIS FORD COPPOLA,2011,Irving G. Thalberg Memorial Award
1186,KÔJI MORIMOTO,2009,Most Innovative Film (Short or Feature)
1188,KATSUHIRO ŌTOMO,1992,Silver Scream Award
1197,CLINT EASTWOOD,2015,Oscar
1463,DAVID SILVERMAN,2013,Oscar
1485,MICHEL GONDRY,2005,Oscar
1550,ALEJANDRO GONZÁLEZ IÑÁRRITU,2016,Oscar
1778,DAVID CRONENBERG,2008,Alexander Korda Award for Best British Film
1904,STANLEY KUBRICK,1988,Oscar
1987,TERRY GILLIAM,1986,Oscar
2034,PEDRO ALMODÓVAR,2003,Oscar
2265,CURTIS HANSON,1998,Oscar
2324,HANY ABU-ASSAD,2013,Foxtel Movies International Award
2364,JAMES MANGOLD,2006,Amanda
2373,STEPHEN DALDRY,2009,Oscar
2450,TONY KAYE,2008,Cinema Eye Honors Award
2462,STEVEN SPIELBERG,2016,Oscar
2793,TIM BURTON,2013,Oscar
2880,RICHARD LINKLATER,2015,Oscar
3096,CHRISTOPHER NOLAN,2011,Oscar
3340,RIDLEY SCOTT,2016,Oscar
3460,ZHANG YIMOU,2005,BAFTA Film Award
3566,HAYAO MIYAZAKI,2015,Honorary Award
3673,MICHAEL MANN,2005,Oscar
