,hashtag,typename,owner_username,caption,owner_id,comments,Likes,Date
0,jamescaanonline,GraphImage,blochamok,"In the office getting my cue-cards ready! - On March 20. and 21 I am the host of Awaken Business Summit in Copenhagen, were we will have the honor of introducing Sir Richard Branson, Jack Daly, James Caan, Michelle Mone, Mandy Hickson, Sally Gunnel, Line Baun Danielsen and many more!
Come join! www.awakenbusinesssummit.com #host #emcee #richardbranson #jamescaanonline #mandyhickson #sallygunnell #linebaundanielsen #jackdaly 🏆🍾🎉✔️@richardbranson  @jamescaanonline @linebaundanielsen @sallygunnell -hope to see YOU too! ❤️❤️❤️❤️❤️",345293215,2,38,2019-02-28 14:02:00
1,tomcruise,GraphImage,akshayfanclub,"@akshaykumar sir clicked with @nitarabhambhani.official at YRF Studio in #Mumbai ..
.
.
.",1932711085,3,106,2019-03-07 07:18:00
2,eddiemurphyofficial,GraphImage,johnsimonephotography,,4469816354,3,3,2019-02-11 08:57:00
3,kevincostnermodernwest,GraphImage,elke_spang,#kevincostner #kevinmichaelcostner #kevincostnermodernwest #costner #kevincostnerandmodernwest #kcmw #bestactor #bestmusican #stars #carpinteria #aspencolorado #santabarbara #aspen #beautiful #handsome #bestman #gentleman #hero #beautifulman #bestdirector #bestartist #lovleymen #thoseeyes #damnthoseeyes #bestsmile #charming #redthursday #arqueonautas ♥️♥️♥️♥️,1943713251,5,93,2019-03-07 00:00:00
4,willsmith,GraphImage,actionindustries,"According to Variety Idris Elba is being scoped out to take over as Deadshot. Will Smith is reportedly locked in to play Richard Williams in tennis biopic about the Williams sisters. Do you think Idris is a good replacement for Will? 
#movienews #suicidesquad #willsmith #idriselba #dcmovies #dc #warnerbrosstudios #comicbookmovies #action #movies",11078902795,0,2,2019-03-07 07:27:00
5,keira_knightley_,GraphImage,_super_kostya_,Looks like?!😜🤘🏻 #johnnydeppofficial #keira_knightley_,495714438,1,22,2019-02-23 20:27:00
6,official_sigourneyweaver,GraphImage,scaladimario,Ripley in Alien #official_sigourneyweaver #digitalart #digitalpainting #caricature #caricatura #film #movies #actress #alienanthology,24972729,4,101,2018-12-17 09:34:00
7,anthonyhopkins,GraphImage,cinefilodefortaleza,"Terra das Sombras (1993).
Dir: Richard Attenborough.
⭐⭐⭐
#cinema #cinéfilos #dicadefilme #filmes
#instafilmes #cinemaemcasa #cinefilo #anos90
#bonstempos #amantesdefilmes #filme #velhostempos #cinefilos #cinéfilo #cinemania #instacinema #cinefilia #cinemas #setimaarte #adorocinema #amocinema #cineminha #cine #melhorfilme #dasantigas #nostalgia #anthonyhopkins #debrawinger",9379356033,0,2,2019-03-07 06:41:00
8,ralphfiennesweb,GraphImage,ralphfiennesweb,"#Repost @restoran_bela_reka (@get_repost)
・・・
U prijatnoj i prijateljskoj atmosferi uživao je svetski  glumac Ralph Fiennes! 
Zadovoljstvo nam je bilo da mu budemo domaćini 👌🏻
#restoranbelareka #belareka #restoran #nacionalnakuhinja #tradicionalnahrana #rakija #domacakuhinja #domacejenajbolje #ralphfiennesweb",7486798414,0,83,2019-02-24 22:04:00
9,zhangziyi_official,GraphImage,beyond.seen.screen,"😁🎥🎬📲⠀
This film is a sequel to Godzilla (2014) and will be the 33rd film in the Godzilla franchise, the third film in Legendary's MonsterVerse, and the third Godzilla film to be completely produced by a Hollywood studio.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
.⠀
⠀
#movie_time🎥 #movie_night #movie_time #movieworld #movieworldaus #movieworldaustralia #movieworldgoldcoast #movieworldgc #movieworldchills  #movie_day #movie_day_out #moviedayin #moviedayinbed #moviebook #movieworldchills #movieextra #videotechnology #tvtechnology #beyondseenscreen #exrey #Godzilla #milliebobbybrown  @milliebobbybrown #verafarmiga @verafarmiga #sallyhawkins #officialkylechandler #charlesdance #zhangziyi_official @zhangziyi_official #davidstrathairn #kenwatanabe",4274574033,0,13,2018-12-14 11:33:00
10,cher,GraphImage,demonconfessions,"“𝔏𝔬𝔳𝔦𝔫𝔤 𝔠𝔞𝔫 𝔠𝔬𝔰𝔱 𝔞 𝔩𝔬𝔱 𝔟𝔲𝔱 𝔫𝔬𝔱 𝔩𝔬𝔳𝔦𝔫𝔤 𝔞𝔩𝔴𝔞𝔶𝔰 𝔠𝔬𝔰𝔱𝔰 𝔪𝔬𝔯𝔢, 𝔞𝔫𝔡 𝔱𝔥𝔬𝔰𝔢 𝔴𝔥𝔬 𝔣𝔢𝔞𝔯 𝔱𝔬 𝔩𝔬𝔳𝔢 𝔬𝔣𝔱𝔢𝔫 𝔣𝔦𝔫𝔡 𝔱𝔥𝔞𝔱 𝔴𝔞𝔫𝔱 𝔬𝔣 𝔩𝔬𝔳𝔢 𝔦𝔰 𝔞𝔫 𝔢𝔪𝔭𝔱𝔦𝔫𝔢𝔰𝔰 𝔱𝔥𝔞𝔱 𝔯𝔬𝔟𝔰 𝔱𝔥𝔢 𝔧𝔬𝔶 𝔣𝔯𝔬𝔪 𝔩𝔦𝔣𝔢”
•
•
•
•
•
###### @demonconfessions ##
#aesthetic#aestheticedits#aestheticquotes#tumblr#90s#80s#70s#60s#y2k#2000sera#followforfollow#fff#f4f#followforfollowback#likeforlikes#like4likes#aestheticpost#marilynmonroe#cher#madonna#dior#chanel#prada#gucci#versace#followforfollowback#fff#f4f#likeforlike#aestheticedits#angel#vintage#marilynmonroe#glamourshots",10638820080,0,9,2019-03-07 07:24:00
11,brucewillisbw,GraphImage,brucewillisbw,"The most charming smile in the whole wide world 🤩
#BruceWillis #BruceWillisBW",629394275,88,4473,2019-02-20 22:15:00
12,officialjamesfrancoo,GraphSidecar,bindi_1218,"Little James and his favorite movie.
#jamesfranco #jamesfrancotvdoll #jamesfrancodoll #ozthegreatandpowerful #ozthegreatandthepowerful #officialjamesfrancoo #jamesfrancolove #jamesfrancofan #jamesfrancoforever #jamesedwardfranco",4677053280,1,18,2019-03-02 06:37:00
13,renner4real,GraphSidecar,marvel_universe_2099,"Which one is your favorite 💖..?? comment me about your thoughts.[Follow @marvel_universe_2099 ] for more amazing stuffs..!!🙏💗💞
:
:
:
#marvel #marvelstudios #avengers #chrisevans #chrishemsworth #robertdowneyjr #renner4real #avengersendgame #markruffalo #avengersinfinitywar #tomholland #guardiansofthegalaxy #drstrange #scarlettjohansson#thanos #shield",9130012755,1,65,2019-03-07 05:21:00
14,robertdowneyjr,GraphVideo,tomhollandorg,"This is just the classic OmG iTs RoBeRt DoWnEy Jr 😚 @robertdowneyjr @tomholland2013 -
#tomholland #robertdowneyjr #rdj #tom #holland #hollander #fan #ironman #spiderman #peterparker #tonystark #starkinustries #ilovethem #tomholland",3681331183,0,1,2019-03-07 07:27:00
15,itsamyadams,GraphImage,susanlynnstanley,I love to laugh and have fun but life has its serious moments.  Thank you @petercarrierphotography for a great photo shoot!,1903453975,13,249,2018-10-24 20:34:00
16,michaelkirkdouglas,GraphImage,pavelpolyakof,"Люблю хорошее кино... Метод Комински -The Kominsky Method! И да - люблю Майкла Дугласа... И пусть он будет играть в сериале Netflix,  пусть будет 8 сезонов по N-oe количество серий.  И да... я,  кстати, не люблю, сериалы, но я хочу смотреть 8 сезонов,  написанных Чаком Лорри  и сыгранных Майклом Дугласом. И да... избавьте меня от контента -  легального или пиратского, Вас - наших ""великих""  или дебютантов-выпускников ВГИКа... Друзья,  а не должны ли вы доплачивать пиратам на торрентах,  за то что вы есть -  хотя бы в ссылках?  Они хотя бы стараются - пираты,  в смысле... Кино возрождается? У Чака Лорри - да. А у нас... ""Рак мозга"" - неоперабельный. #второйрежиссер #актер #кино #снимаемкино #ПавелПоляков #сьемки #pavelpolyakov #cinema #actor #1stassistantdirector #1stAD #filmmaking #filmlife #cinematography #filmmaker #cinematographer #filmcrew #сьемкифильма #закадром #followme #instalike #follow4follow #like4like #follow #instagood #likeforlike #майклдуглас #Michaeldouglas #MichaelKirkDouglas #Michaeldouglas #Netflix",337142770,0,44,2019-03-07 00:40:00
17,jack_nicholson_official,GraphImage,parthenisjohn,#myart #drawing #theshining #jack_nicholson_official,8451093855,1,31,2018-12-03 18:11:00
18,robertdenirodaily,GraphImage,sonochiaramartinelli,#taxidriver #robertdenirodaily #robertdeniro #movies #bestactor #bestactorever #punk,6754480974,0,5,2019-03-02 22:34:00
19,ethanhawke,GraphImage,bettymaecasting,"It only matters the story they tell when you’re gone! We are so excited for THE KID screening tonight and can’t wait for everyone to see it in theaters this Friday! 
#TheKid #ChrisPratt #EthanHawke #VincentD’Onofrio #AdamBaldwin #LeilaGeorge #DaneDeHaan #TaitFletcher #KeithJardine #JennyGabrielle #JakeSchur #AndrewLanham #RichardBrickell #JonathanBross #JoJoChehebar #DavidGendron #AliJazayeri #DillonJordan #JonahLoop #ChristianMercuri #SamirPatel #SejalPatel #CarlStubner #BettyMaeCasting",2024824330,7,174,2019-03-07 05:35:00
20,diane_keaton,GraphImage,alippaydar,"روانشناسم درباره تو بهم اخطار داده بود، اما تو اونقدر خوشگل بودی که یه روانشناس دیگه برای خودم پیدا کردم
_
#dialouge #Woody_Allen #Diane_Keaton #Manhattan",1204437908,2,143,2019-03-02 18:54:00
21,cate_blanchettofficial,GraphImage,joey_arminio_bazooka_joe,"Taking care of my boy! Dry eye, ❤️❤️❤️❤️🙏🙏🙏🎷🎷😇😇 #eizagonzalez#reesewitherspoon #cate_blanchettofficial #zachbraff #officialslystallone #janeymontgomery #emrata #gal_gadot #smashleybell #garry_pastor #theshanewest #jensenackles #jaredpadalecki #hollymariecombs #sofiavergara #elizabethbanks #iddophoto#roselyn_sanchez #donald_aison #annehathaway #tarantinoxx #markwahlberg #robendict #markruffalo #misha #cw_supernatural #robertdowneyjr #katebeckinsale #lievschreiber",2047265662,2,33,2019-03-06 05:02:00
22,driverminnie,GraphImage,altasociedadii,#ASIIGlam In #Hollywood for #theacademy #oscars with #driverminnie #Fashion #Style #Trends.,1904318894,1,15,2019-02-25 13:32:00
23,samuelljackson,GraphImage,jawahri.atc,"🎬5/10
CAPTAIN MARVEL
You walk into a resturant very hungry, you sit on the table and they give you a basket of bread and butter before your big tasty meal, that’s exactly what #CaptainMarvel is like, some people like bread and butter but I don’t. You’ll forget this movie when you wake up the next day, which to me is the worst type of movies because it didn’t leave any impact, good or bad. To me #BrieLarson didn’t play her role very well, I needed a much stronger performance, she just didn’t bring it, hopefully she’ll be much better in #AvengersEndGame also the camera work for this movie was very bad, they set up these great action scenes but you couldn’t SEE them because the camera movement and the editing was very fast. But on the up side
The story telling was good
#JudeLaw was great
#BenMendelsohn was amazing
And #SamuellJackson was the best

You’ll go see the movie anyways and you should because you wanna see how things get connected to Avengers End Game. This is not a BAD movie, this is just another superhero movie.",6534982145,1,2,2019-03-07 07:19:00
24,abbienormal9,GraphImage,evathcjournalist,"My top nine best -
-
-
This year was crazy with break ups and other stuff
-
-
-
Hope 2019 will be a good one -
-
-
#topnine #topnine2018 #topninebestof2018 #topnineinstagram #happybirthday #happynewyear #merrychristmas #happyeaster #creatureslieherelookingthroughthewindow #monsterhowshouldifeel #happythanksgivng #cutecutedit #mylifeaseva #evagutowski #abbiebreslin #abbienormal9 #azzyland #denisdaily #ytrewind2018sucks",4574809900,1,14,2018-12-15 23:40:00
25,ibenkingsley,GraphSidecar,ibenkingsley,"All i do is rap with my mac
@allanpreetham #hashtag2k17 #allanpreetham #ibenkingsley  #love #followback #instagramers #socialenvy #tweegram #photooftheday #20likes #amazing #smile #follow4follow #like4like #look #instalike #igers #picoftheday #food #instadaily #instafollow #followme  #instagood #bestoftheday #instacool #ebookwormsclub #follow4follow",1708957983,16,297,2018-01-26 11:37:00
26,derekluke,GraphVideo,katherineloove,"Hannah didn't deserve it 💔
-
-
-
-
-
Song: Billie Eilish - Hostage @katherinelangford @derekluke #katherinelangford #hannahbaker #13powodów #13reasonswhy #mrporter #derekluke",11164831906,0,67,2019-03-06 17:57:00
