,movie,budget,company,country,genre,rating,score,actor,writer,year,director
0,STAND BY ME,8000000,COLUMBIA PICTURES CORPORATION,USA,Adventure,R,8.1,WIL WHEATON,Stephen King,1986,ROB REINER
1,FERRIS BUELLER'S DAY OFF,6000000,PARAMOUNT PICTURES,USA,Comedy,PG-13,7.8,MATTHEW BRODERICK,John Hughes,1986,JOHN HUGHES
2,TOP GUN,15000000,PARAMOUNT PICTURES,USA,Action,PG,6.9,TOM CRUISE,Jim Cash,1986,TONY SCOTT
3,ALIENS,18500000,TWENTIETH CENTURY FOX FILM CORPORATION,USA,Action,R,8.4,SIGOURNEY WEAVER,James Cameron,1986,JAMES CAMERON
4,FLIGHT OF THE NAVIGATOR,9000000,WALT DISNEY PICTURES,USA,Adventure,PG,6.9,JOEY CRAMER,Mark H. Baker,1986,RANDAL KLEISER
5,PLATOON,6000000,HEMDALE,UK,Drama,R,8.1,CHARLIE SHEEN,Oliver Stone,1986,OLIVER STONE
6,LABYRINTH,25000000,HENSON ASSOCIATES (HA),UK,Adventure,PG,7.4,DAVID BOWIE,Dennis Lee,1986,JIM HENSON
7,BLUE VELVET,6000000,DE LAURENTIIS ENTERTAINMENT GROUP (DEG),USA,Drama,R,7.8,ISABELLA ROSSELLINI,David Lynch,1986,DAVID LYNCH
8,PRETTY IN PINK,9000000,PARAMOUNT PICTURES,USA,Comedy,PG-13,6.8,MOLLY RINGWALD,John Hughes,1986,HOWARD DEUTCH
9,THE FLY,15000000,SLM PRODUCTION GROUP,USA,Drama,R,7.5,JEFF GOLDBLUM,George Langelaan,1986,DAVID CRONENBERG
10,CROCODILE DUNDEE,8800000,RIMFIRE FILMS,Australia,Adventure,PG-13,6.5,PAUL HOGAN,Ken Shadie,1986,PETER FAIMAN
11,HIGHLANDER,16000000,THORN EMI SCREEN ENTERTAINMENT,UK,Action,R,7.2,CHRISTOPHER LAMBERT,Gregory Widen,1986,RUSSELL MULCAHY
12,LUCAS,6000000,TWENTIETH CENTURY FOX FILM CORPORATION,USA,Comedy,PG-13,6.8,COREY HAIM,David Seltzer,1986,DAVID SELTZER
13,BIG TROUBLE IN LITTLE CHINA,25000000,TWENTIETH CENTURY FOX FILM CORPORATION,USA,Action,PG-13,7.3,KURT RUSSELL,Gary Goldman,1986,JOHN CARPENTER
14,MANHUNTER,15000000,DE LAURENTIIS ENTERTAINMENT GROUP (DEG),USA,Crime,R,7.2,WILLIAM PETERSEN,Thomas Harris,1986,MICHAEL MANN
15,9½ WEEKS,17000000,PRODUCERS SALES ORGANIZATION (PSO),USA,Drama,R,5.9,MICKEY ROURKE,Elizabeth McNeill,1986,ADRIAN LYNE
16,MAXIMUM OVERDRIVE,10000000,DE LAURENTIIS ENTERTAINMENT GROUP (DEG),USA,Action,R,5.4,EMILIO ESTEVEZ,Stephen King,1986,STEPHEN KING
17,LITTLE SHOP OF HORRORS,25000000,"GEFFEN COMPANY, THE",USA,Comedy,PG-13,6.9,RICK MORANIS,Howard Ashman,1986,FRANK OZ
18,THE WRAITH,2700000,NEW CENTURY ENTERTAINMENT CORPORATION,USA,Action,PG-13,5.9,CHARLIE SHEEN,Mike Marvin,1986,MIKE MARVIN
19,HOWARD THE DUCK,35000000,UNIVERSAL PICTURES,USA,Action,PG,4.6,LEA THOMPSON,Steve Gerber,1986,WILLARD HUYCK
20,CRITTERS,2000000,NEW LINE CINEMA,USA,Action,PG-13,6.0,DEE WALLACE,Domonic Muir,1986,STEPHEN HEREK
21,BACK TO SCHOOL,11000000,ORION PICTURES,USA,Comedy,PG-13,6.6,RODNEY DANGERFIELD,Rodney Dangerfield,1986,ALAN METTER
22,THE TEXAS CHAINSAW MASSACRE 2,4700000,CANNON FILMS,USA,Comedy,UNRATED,5.6,DENNIS HOPPER,L.M. Kit Carson,1986,TOBE HOOPER
23,HEARTBREAK RIDGE,15000000,JAY WESTON PRODUCTIONS,USA,Action,R,6.8,CLINT EASTWOOD,James Carabatsos,1986,CLINT EASTWOOD
24,STAR TREK IV: THE VOYAGE HOME,25000000,PARAMOUNT PICTURES,USA,Adventure,PG,7.3,WILLIAM SHATNER,Gene Roddenberry,1986,LEONARD NIMOY
25,SHORT CIRCUIT,0,TRISTAR PICTURES,USA,Comedy,PG,6.6,ALLY SHEEDY,S.S. Wilson,1986,JOHN BADHAM
26,THE NAME OF THE ROSE,0,NEUE CONSTANTIN FILM,Italy,Crime,R,7.8,SEAN CONNERY,Umberto Eco,1986,JEAN-JACQUES ANNAUD
27,IRON EAGLE,0,TRISTAR PICTURES,USA,Action,PG-13,5.3,LOUIS GOSSETT JR.,Kevin Alyn Elders,1986,SIDNEY J. FURIE
28,THE GOLDEN CHILD,25000000,PARAMOUNT PICTURES,USA,Action,PG-13,5.9,EDDIE MURPHY,Dennis Feldman,1986,MICHAEL RITCHIE
29,RIVER'S EDGE,1900000,HEMDALE,USA,Crime,R,7.1,CRISPIN GLOVER,Neal Jimenez,1986,TIM HUNTER
30,¡THREE AMIGOS!,25000000,L.A. FILMS,USA,Comedy,PG,6.4,STEVE MARTIN,Steve Martin,1986,JOHN LANDIS
31,COBRA,25000000,WARNER BROS.,USA,Action,R,5.7,SYLVESTER STALLONE,Paula Gosling,1986,GEORGE P. COSMATOS
32,BETTY BLUE,0,GAUMONT,France,Drama,Not specified,7.4,JEAN-HUGUES ANGLADE,Philippe Djian,1986,JEAN-JACQUES BEINEIX
33,THE MISSION,24500000,WARNER BROS.,UK,Adventure,PG,7.5,ROBERT DE NIRO,Robert Bolt,1986,ROLAND JOFFÉ
34,THE COLOR OF MONEY,13800000,TOUCHSTONE PICTURES,USA,Drama,R,7.0,PAUL NEWMAN,Walter Tevis,1986,MARTIN SCORSESE
35,THE KARATE KID PART II,0,COLUMBIA PICTURES CORPORATION,USA,Action,PG,5.9,PAT MORITA,Robert Mark Kamen,1986,JOHN G. AVILDSEN
36,THE BOY WHO COULD FLY,0,LORIMAR PRODUCTIONS,USA,Drama,PG,6.5,LUCY DEAKINS,Nick Castle,1986,NICK CASTLE
37,THE HITCHER,6000000,HBO FILMS,USA,Thriller,R,7.3,RUTGER HAUER,Eric Red,1986,ROBERT HARMON
38,THE MONEY PIT,10000000,AMBLIN ENTERTAINMENT,USA,Comedy,PG,6.3,TOM HANKS,David Giler,1986,RICHARD BENJAMIN
39,JASON LIVES: FRIDAY THE 13TH PART VI,3000000,PARAMOUNT PICTURES,USA,Horror,R,5.9,THOM MATHEWS,Tom McLoughlin,1986,TOM MCLOUGHLIN
40,THE MOSQUITO COAST,25000000,THE SAUL ZAENTZ COMPANY,USA,Adventure,PG,6.6,HARRISON FORD,Paul Theroux,1986,PETER WEIR
